"id","name","slug","description","icon","color","cover_image","sort_order","is_active","created_at","updated_at"
"1","Pop","pop","Nhạc pop – thể loại nhạc đại chúng với giai điệu bắt tai, dễ nghe, phổ biến toàn cầu.","fa-solid fa-star","#ec4899","genre/pop.jpg","1","1","2026-04-18 01:19:01","2026-04-18 01:19:01"
"2","Rock","rock","Nhạc rock – thể loại nhạc mạnh mẽ, sôi động với guitar điện, trống và bass.","fa-solid fa-guitar","#ef4444","genre/Rock.jpg","2","1","2026-04-18 01:19:01","2026-04-18 01:19:01"
"3","Ballad","ballad","Nhạc ballad – những ca khúc chậm rãi, da diết, giàu cảm xúc và lời ca sâu lắng.","fa-solid fa-heart","#f43f5e","genre/Ballad.jpg","3","1","2026-04-18 01:19:01","2026-04-18 01:19:01"
"4","Rap / Hip-hop","rap-hip-hop","Nhạc rap và hip-hop – kết hợp lời rap sắc bén, beat mạnh và phong cách đường phố.","fa-solid fa-microphone","#f59e0b","genre/Rap.jpg","4","1","2026-04-18 01:19:01","2026-04-18 01:19:01"
"5","EDM","edm","Electronic Dance Music – nhạc điện tử sôi động, được thiết kế cho sàn nhảy và các lễ hội âm nhạc.","fa-solid fa-bolt","#8b5cf6","genre/EDM.jpg","5","1","2026-04-18 01:19:01","2026-04-18 01:19:01"
"6","R&B","rb","Rhythm and Blues – thể loại nhạc mượt mà, passionate, kết hợp giữa soul, funk và hip-hop.","fa-solid fa-fire","#f97316","genre/R&B.jpg","6","1","2026-04-18 01:19:01","2026-04-18 01:19:01"
"7","Jazz","jazz","Nhạc jazz – thể loại âm nhạc tinh tế với phong cách ứng tấu tự do, saxophone và piano đặc trưng.","fa-solid fa-compact-disc","#0ea5e9","genre/Jazz.jpg","7","1","2026-04-18 01:19:01","2026-04-18 01:19:01"
"8","Classical","classical","Nhạc cổ điển – tinh hoa âm nhạc từ thế kỷ 17–19 với dàn nhạc giao hưởng và các nhà soạn nhạc bậc thầy.","fa-solid fa-music","#6366f1","genre/Classical.jpg","8","1","2026-04-18 01:19:01","2026-04-18 01:19:01"
"9","Country","country","Nhạc đồng quê – thể loại nhạc Mỹ mang âm hưởng cây đàn guitar thùng, banjo và cuộc sống nông thôn.","fa-solid fa-hat-cowboy","#84cc16","genre/Country.jpg","9","1","2026-04-18 01:19:01","2026-04-18 01:19:01"
"10","K-Pop","k-pop","Nhạc pop Hàn Quốc – kết hợp âm nhạc bắt tai, vũ đạo điêu luyện và phong cách trình diễn đẳng cấp.","fa-solid fa-crown","#a855f7","genre/K-Pop.jpg","10","1","2026-04-18 01:19:01","2026-04-18 01:19:01"
"11","V-Pop","v-pop","Nhạc pop Việt Nam – thể loại nhạc trẻ Việt với giai điệu đa dạng từ ballad, dance pop đến fusion.","fa-solid fa-flag","#10b981","genre/V-Pop.jpg","11","1","2026-04-18 01:19:01","2026-04-18 01:19:01"
"12","Indie","indie","Nhạc indie – âm nhạc độc lập, sáng tạo không theo khuôn mẫu, đề cao cá tính và tự do nghệ thuật.","fa-solid fa-leaf","#6ee7b7","genre/Indie.jpg","12","1","2026-04-18 01:19:01","2026-04-18 01:19:01"
"13","Lo-fi","lo-fi","Lo-fi hip hop – âm nhạc thư giãn, chill với tiếng vinyl ấm, thường dùng để học tập và thư giãn.","fa-solid fa-headphones","#94a3b8","genre/Lo-fi.jpg","13","1","2026-04-18 01:19:01","2026-04-18 01:19:01"
"14","bolero","bolero","Bolero – thể loại nhạc truyền thống với giai điệu trữ tình và nhịp điệu chậm.","fa-solid fa-music","#f59e0b","genre/bolero.png","14","1","2026-04-18 01:19:01","2026-04-18 01:19:01"
