title,artist,album,genre,duration,file_path,cover_image,lyrics,lyrics_type,released_date,is_vip,status,listens,mood_tags,activity_tags,topic_tags
Một thời đã xa,Phương Thanh,,Pop,300,songs/custom/001_mot_thoi_da_xa.mp3,covers/songs/custom/001_mot_thoi_da_xa.jpg,,plain,2000-01-01,0,published,0,buon;tam-trang,ngu,ky-uc
Tình xa khuất,Phương Thanh,,Pop,354,songs/custom/002_tinh_xa_khuat.mp3,covers/songs/custom/002_tinh_xa_khuat.jpg,,plain,1998-05-20,0,published,0,buon;lang-man,lam-viec,chia-tay
Trống vắng,Phương Thanh,,Rock,321,songs/custom/003_trong_vang.mp3,covers/songs/custom/003_trong_vang.jpg,,plain,1997-10-10,0,published,0,energetic;tam-trang,lai-xe,ky-uc
Lang thang,Phương Thanh,,Pop,357,songs/custom/004_lang_thang.mp3,covers/songs/custom/004_lang_thang.jpg,,plain,1997-12-01,0,published,0,buon;thu-gian,chay-bo,cuoc-song
Tình cờ,Phương Thanh,,Pop,213,songs/custom/005_tinh_co.mp3,covers/songs/custom/005_tinh_co.jpg,,plain,1999-03-15,0,published,0,vui-ve;lang-man,hoc-tap,tinh-yeu
Tình 2000,Phương Thanh,,Pop,342,songs/custom/006_tinh_2000.mp3,covers/songs/custom/006_tinh_2000.jpg,,plain,2000-01-01,0,published,0,energetic;vui-ve,tiec-tung,tuoi-tre
Chia tay trong mưa,Phương Thanh,,Ballad,278,songs/custom/007_chia_tay_trong_mua.mp3,covers/songs/custom/007_chia_tay_trong_mua.jpg,,plain,1998-08-20,0,published,0,buon;tam-trang,ngu,chia-tay
Đêm đông lao xao,Phương Thanh,,Pop,330,songs/custom/008_dem_dong_lao_xao.mp3,covers/songs/custom/008_dem_dong_lao_xao.jpg,,plain,2001-11-15,0,published,0,thu-gian;lang-man,hoc-tap,ky-uc
Giã từ dĩ vãng,Phương Thanh,,Ballad,210,songs/custom/009_gia_tu_di_vang.mp3,covers/songs/custom/009_gia_tu_di_vang.jpg,,plain,1997-09-05,0,published,0,buon;tam-trang,ngu,ky-uc
Mưa tình yêu,Phương Thanh,,Pop,218,songs/custom/010_mua_tinh_yeu.mp3,covers/songs/custom/010_mua_tinh_yeu.jpg,,plain,2002-06-10,0,published,0,lang-man;vui-ve,lam-viec,tinh-yeu
Dạ khúc buồn,Phương Thanh,,Ballad,341,songs/custom/011_da_khuc_buon.mp3,covers/songs/custom/011_da_khuc_buon.jpg,,plain,2001-04-12,0,published,0,buon;tam-trang,ngu,chia-tay
Ta chẳng còn ai,Phương Thanh,,Ballad,294,songs/custom/012_ta_chang_con_ai.mp3,covers/songs/custom/012_ta_chang_con_ai.jpg,,plain,1997-12-25,0,published,0,buon;tam-trang,lam-viec,chia-tay
Hãy để em ra đi,Phương Thanh,,Pop,293,songs/custom/013_hay_de_em_ra_di.mp3,covers/songs/custom/013_hay_de_em_ra_di.jpg,,plain,2003-02-14,0,published,0,buon;hao-hung,tap-gym,chia-tay
Khi giấc mơ về,Phương Thanh,,Ballad,280,songs/custom/014_khi_giac_mo_ve.mp3,covers/songs/custom/014_khi_giac_mo_ve.jpg,,plain,2002-10-20,0,published,0,buon;lang-man,ngu,ky-uc
